ENTITY,YEAR,ADULT_LITERACY,YOUTH_LITERACY_M,YOUTH_LITERACY_F,OWID_REGION
Eswatini,2006,82.0,88.81,93.58,Africa
Eswatini,2010,82.0,88.81,96.32,Africa
Eswatini,2014,82.0,88.81,100.0,Africa
Eswatini,2022,90.74702,98.55315,98.77755,Africa
Ethiopia,1994,27.0,39.0,28.0,Africa
Ethiopia,2000,27.0,49.47,27.02,Africa
Ethiopia,2004,36.0,62.0,39.0,Africa
Ethiopia,2005,36.0,60.07,34.06,Africa
Ethiopia,2007,39.0,63.0,47.0,Africa
Ethiopia,2011,39.0,65.08,43.65,Africa
Ethiopia,2016,47.49159,79.13417,64.5676,Africa
Ethiopia,2019,47.49159,79.13417,70.29423,Africa
Fiji,2021,91.4625226923077,96.11,99.41343,Oceania
Gabon,1993,72.0,94.0,92.0,Africa
Gabon,2012,72.0,94.88,93.77,Africa
Gabon,2021,88.85834,94.95532,93.04062,Africa
Gambia,2000,37.0,64.0,41.0,Africa
Gambia,2006,37.0,64.0,48.15,Africa
Gambia,2013,37.0,78.39,65.85,Africa
Gambia,2015,51.0,71.0,64.0,Africa
Gambia,2018,53.1602,74.97817,67.01137,Africa
Gambia,2021,51.6374,72.01779,62.55218,Africa
Georgia,2002,100.0,100.0,100.0,Asia
Georgia,2005,100.0,100.0,99.9,Asia
Georgia,2014,100.0,100.0,100.0,Asia
Georgia,2017,99.0,100.0,99.0,Asia
Georgia,2018,99.65366,99.9046,99.94143,Asia
Georgia,2022,100.0,100.0,100.0,Asia
Georgia,2023,99.55547,98.88482,99.8423,Asia
Ghana,2000,58.0,76.0,65.0,Africa
Ghana,2003,58.0,84.77,73.05,Africa
Ghana,2006,58.0,84.77,76.92,Africa
Ghana,2010,71.0,88.0,83.0,Africa
Ghana,2011,71.0,88.0,84.6,Africa
Ghana,2014,71.0,91.17,83.65,Africa
Ghana,2017,64.49239,89.77029,85.2477,Africa
Ghana,2021,76.48568,91.73803,91.30476,Africa
Greece,1981,91.0,99.0,99.0,Europe
